"""\:\'\(+""",<tristeza>
"""\:\(+""",<tristeza>
"""\:\)+""",<alegria>
"""\:\S+""",<poco_disgusto>
"""\:O\s""",<sorpresa>
"""\:P\s""",<disgusto>
"""\s[Jj]a\s""",<alegria>
"""\s[Kk]ike\s""",Enrique
"""\s[Tt]qm\s""",te quiero mucho
"""\sagusto\s""",a gusto
"""\sbad quality[$\s]""",<molestia>
"""\sbuska\s""",busca
"""\schikita\s""",chiquita
"""\sdf\s""",Distrito_Federal
"""\senga\'nao\s""",enga'nado
"""\sfriend\s""",amigo
"""\smamado\s""",harto
"""\smierdero\s""",<insulto> 
"""\sodio jarocho\s""",<enojo>
"""\sosea\s""",o sea
"""\splis\s""",por favor
"""\sputa\s""",<insulto>
"""\sque puta madre\s""",<muy_molesto>
"""\swei\s""",wey
\b[Bb]n\b,bien
\b[Bb]uska\b ,busca
\b[Cc]he\b,<insulto>
\b[Cc]hingao\b ,<insulto>
\b[Cc]nd\b, cuando 
\b[Cc]ndo\b, cuando 
\b[Dd]\s, de 
\b[Dd]nde\b, donde 
\b[Ee]zperare\b, esperar'e 
\b[Ee]zperare\b, esperar'e 
\b[Gg]oor\b, gordo 
\b[Hh]oygan\b, oigan 
\b[Hh]y\b, hoy 
\b[Kk]\b, que 
\b[Kk]e\b, que 
\b[Kk]ga\b,<molestia>
\b[Kk]gas\b,<molestia>
\b[Kk]gn\b,<molestia>
\s[Kk]ie,quie
\s[Kk]re,cre
\s[Mm]\s,me 
\s[Mm]nj\s,mensajes
\b[Mm]njs\b,mensajes
\b[Oo]ign\b,oigan
\b[Oo]la\b,hola 
\b[Pp]a\b,para
\b[Pp]q\b,porque
\b[Pp]qe\b,porque
\b[Qq]\b,que
\b[Qq]e\b,que
\b[Qq]ro\b,quiero
\b[Ss]olo\b,solo
\b[Tt]a\b,<afecto>
\b[Xx] fas\b,por favor
\b[Xx]\b,por
\b[Xx]q\b,por que
\ba la c\b,<insulto>
\bamos\b,vamos
\base\b,hace 
\baser\b,hacer 
\bazta\b,hasta
\bbb\b ,bebe
\bBB\b ,bebe
\bc\s,se 
\bcbrn\b ,<insulto>
\bcdt\b ,cu'idate
\bcel\b ,celular
\bcelu\b,celular
\bchambeo\b ,trabajo
\bchelas\b ,cervezas
\bchelita\b ,cerveza
\bcheves\b ,cervezas
\bchikita\b ,chiquita
\bchulis\b,linda
\bcl\b,celular
\bclient\b,cliente
\bcn\b,con
\bcomidita\b,comida
\bcsada\b,casada
\bdivis\b,divina
\bekis\b,<indiferencia>
\bflaka\b,flaca
\bfut\b,futbol
\bgrx\b,gracias
\bidita\b,ida
\binter\b,internet
\bizq\b ,izquierda
\bIZQ\b ,izquierda
\bkie, quie
\bkpm\b,<insulto>
\bksita\b,casa
\bmejo\b,mi hijo
\bmez\b,mes
\bmi shihiiis\b,muchachita
\bnah\b,no
\bnd\b,nada
\bo k\b,o qu'e?
\bof\b,oficina
\bonde\b,donde
\bp/ k\b,para qu'e
\bpa\'\b,para
\bpedlla\b,borrachera
\bpeo\b,pedo
\bperece\b,esp'erece
\bplis\b,por favor
\bpolis\b,polic'ias
\bporfin\b,por fin
\bporq\b,porque
\bprdr\b,perder
\bpro\b,pero
\bpront\b,pronto
\bps\b,pues
\bpsas\b,pasas
\bqueles\b,quieres
\bre\s,muy 
\bRe\s,muy 
\bserv\b,servicio
\bshi\b,si
\bshisotas\b,chichis
\bsn\b,son
\bsoluc\b,soluci'on
\bspr\b,super
\bstas\b,estas
\bsttus\b,status
\bT\b,te
\btlf\b,tel'efono
\btn\b,tan
\btns\b,entonces
\b[Tt]qm\b,te quiero mucho
\bTQM\b,te quiero mucho
\bunis\b,universitarias
\buns\b,unas
\bvd\b,verdad
\bvieji\b,vieja
\bvms\b,vamos
\bvy\b,voy
\bwei\b,wey
\bxuxa\b,<disgusto>
\s\.\|\.\s,<insulto>
najillos\b,najes
